__Dt_Conclusao_Ensino_Medio,Matriz_Estrutura_Curso,Periodo_letivo_ini,Dt_Nascimento,Tipo_escola_Origem,sexo,Texto_cidade,Ano_Conclusao_Graduacao,Desc_Curso_Graduacao,Pai_Falecido,Mae_Falecida,Desc_Cor,Profissao,Cod_Grau_Instrucao,Estado_Titulo_Ele,Data_Titulo_Ele,DESC_NACIONALIDADE,Desc_Escola_2_Grau,Desc_Escola_Graduacao,Desc_Naturalidade,Desc_Turno,Desc_Estado_Civil,Desc_Tipo_Escola_Origem,Desc_Cota,Desc_Turno_Ini,Status,Idade,Anos_Apos_Graduacao,n_matriculas_pessoa,primeira_matricula,reingresso,n_matriculas_maior_que_1
,20,1,25,2.0,0,,,,0.0,0.0,1,9.0,3.0,,,0.0,,,,1,,2.0,,1,1.0,33,,1,1,0,0
,20,1,26,2.0,0,4.0,2014.0,10.0,0.0,0.0,1,10.0,3.0,0.0,22.0,0.0,,9.0,10.0,0,0.0,2.0,1.0,2,1.0,30,4.0,1,1,0,0
2014.0,73,1,27,2.0,0,6.0,2021.0,11.0,0.0,0.0,0,,4.0,0.0,23.0,0.0,15.0,4.0,0.0,0,0.0,2.0,1.0,0,0.0,25,1.0,1,1,0,0
,20,1,28,,0,,,,0.0,0.0,1,,1.0,,,,,,,2,,,1.0,2,0.0,32,,1,1,0,0
2015.0,73,1,29,2.0,0,0.0,,,0.0,0.0,0,11.0,1.0,0.0,24.0,0.0,16.0,,2.0,0,0.0,2.0,1.0,0,0.0,23,,1,1,0,0
,20,1,30,,0,0.0,2010.0,3.0,0.0,0.0,2,2.0,0.0,0.0,25.0,0.0,,2.0,0.0,0,2.0,,0.0,0,1.0,38,11.0,1,1,0,0
1997.0,73,1,31,0.0,0,0.0,2018.0,12.0,,,4,9.0,5.0,0.0,26.0,0.0,17.0,0.0,0.0,0,1.0,0.0,2.0,0,0.0,42,4.0,1,1,0,0
2013.0,73,1,32,0.0,0,0.0,2021.0,13.0,0.0,0.0,0,1.0,1.0,0.0,27.0,0.0,18.0,0.0,0.0,0,0.0,0.0,1.0,0,0.0,26,1.0,2,1,1,1
2006.0,20,2,33,1.0,0,1.0,,,0.0,0.0,0,10.0,6.0,0.0,28.0,0.0,19.0,,11.0,2,0.0,1.0,1.0,2,1.0,29,,1,1,0,0
2003.0,20,2,34,2.0,0,3.0,,,0.0,0.0,0,12.0,1.0,0.0,29.0,0.0,20.0,,12.0,0,2.0,2.0,1.0,2,1.0,32,,1,1,0,0
2015.0,20,1,35,0.0,0,0.0,2021.0,3.0,0.0,0.0,2,,1.0,0.0,30.0,0.0,21.0,4.0,0.0,0,0.0,0.0,0.0,0,1.0,23,0.0,1,1,0,0
2007.0,20,2,36,0.0,0,1.0,2014.0,14.0,0.0,0.0,0,1.0,2.0,0.0,31.0,0.0,22.0,0.0,0.0,0,0.0,0.0,,0,1.0,24,0.0,1,1,0,0
,20,2,37,2.0,0,0.0,,,,,0,,1.0,0.0,32.0,0.0,23.0,,0.0,0,0.0,2.0,1.0,0,1.0,37,,1,1,0,0
,20,1,38,4.0,0,0.0,,,0.0,0.0,4,,,,,0.0,,,0.0,0,,4.0,1.0,0,1.0,24,,1,1,0,0
2009.0,20,1,39,0.0,0,0.0,,15.0,0.0,0.0,2,10.0,0.0,0.0,33.0,0.0,24.0,0.0,0.0,1,0.0,0.0,,1,0.0,23,,1,1,0,0
2013.0,73,1,40,2.0,1,7.0,2020.0,12.0,0.0,0.0,2,11.0,4.0,0.0,34.0,0.0,25.0,10.0,13.0,0,1.0,2.0,1.0,0,0.0,25,2.0,1,1,0,0
,20,2,41,2.0,1,,,,0.0,0.0,1,,,,,,,,,0,,2.0,,0,1.0,32,,1,1,0,0
2010.0,73,1,42,0.0,0,0.0,,3.0,0.0,0.0,2,1.0,,0.0,35.0,0.0,26.0,4.0,0.0,0,0.0,0.0,1.0,0,0.0,29,,1,1,0,0
2003.0,20,1,43,0.0,0,0.0,2007.0,16.0,,,0,3.0,4.0,0.0,36.0,0.0,27.0,0.0,0.0,0,0.0,0.0,1.0,0,0.0,34,12.0,2,1,1,1
2015.0,73,1,44,0.0,0,3.0,2021.0,4.0,0.0,0.0,2,1.0,7.0,0.0,37.0,0.0,28.0,11.0,14.0,0,0.0,0.0,1.0,0,1.0,24,1.0,1,1,0,0
2009.0,20,2,45,0.0,1,0.0,2013.0,6.0,0.0,0.0,1,13.0,3.0,0.0,38.0,0.0,29.0,12.0,0.0,0,0.0,0.0,1.0,0,1.0,24,3.0,1,1,0,0
,20,1,46,,0,0.0,2019.0,10.0,0.0,0.0,1,14.0,0.0,1.0,39.0,0.0,,,15.0,0,,,1.0,0,0.0,34,1.0,1,1,0,0
,20,1,47,,0,0.0,2014.0,10.0,0.0,0.0,0,,1.0,2.0,40.0,0.0,,,16.0,0,0.0,,0.0,0,0.0,32,7.0,1,1,0,0
,20,1,48,,0,8.0,2014.0,4.0,0.0,0.0,1,,3.0,0.0,41.0,0.0,,13.0,3.0,0,0.0,,1.0,2,1.0,29,4.0,1,1,0,0
2005.0,20,1,49,2.0,0,1.0,2019.0,1.0,0.0,0.0,0,1.0,2.0,0.0,42.0,0.0,30.0,4.0,0.0,0,0.0,2.0,0.0,0,0.0,33,2.0,1,1,0,0
,20,1,50,,0,9.0,2020.0,17.0,0.0,0.0,2,,0.0,0.0,10.0,0.0,,,6.0,0,0.0,,0.0,0,0.0,21,1.0,1,1,0,0
2011.0,20,1,51,2.0,0,9.0,,,0.0,0.0,0,15.0,1.0,0.0,43.0,0.0,31.0,,17.0,0,0.0,2.0,0.0,0,1.0,26,,1,1,0,0
2007.0,20,2,52,1.0,1,10.0,,,0.0,0.0,0,3.0,4.0,0.0,44.0,0.0,32.0,,0.0,2,1.0,1.0,1.0,2,0.0,27,,1,1,0,0
2012.0,20,1,53,2.0,0,0.0,2019.0,1.0,0.0,0.0,0,1.0,,0.0,45.0,0.0,33.0,1.0,18.0,0,0.0,2.0,1.0,0,1.0,25,1.0,1,1,0,0
,20,1,54,,0,0.0,2015.0,18.0,0.0,0.0,0,14.0,,0.0,46.0,0.0,,14.0,19.0,0,1.0,,1.0,0,0.0,33,5.0,1,1,0,0
2005.0,20,2,55,2.0,0,10.0,2015.0,19.0,0.0,,0,1.0,1.0,0.0,47.0,0.0,34.0,,0.0,0,1.0,2.0,,0,1.0,28,0.0,1,1,0,0
,73,1,56,,0,0.0,1999.0,4.0,0.0,0.0,2,,0.0,0.0,48.0,0.0,,15.0,0.0,0,1.0,,1.0,0,0.0,48,23.0,2,1,1,1
2004.0,73,1,57,0.0,0,0.0,2022.0,20.0,0.0,0.0,2,11.0,,0.0,49.0,0.0,35.0,6.0,0.0,0,1.0,0.0,0.0,0,0.0,37,1.0,1,1,0,0
,73,1,58,,0,0.0,2023.0,21.0,0.0,0.0,4,,0.0,0.0,50.0,0.0,,16.0,2.0,0,1.0,,2.0,0,0.0,29,1.0,1,1,0,0
2013.0,20,1,59,0.0,0,0.0,2020.0,22.0,0.0,0.0,0,1.0,,0.0,51.0,0.0,36.0,4.0,0.0,0,0.0,0.0,0.0,0,0.0,26,1.0,2,1,1,1
2007.0,20,1,60,0.0,0,0.0,,,0.0,0.0,2,1.0,2.0,0.0,52.0,0.0,37.0,,0.0,0,0.0,0.0,1.0,0,0.0,29,,1,1,0,0
,73,1,61,,0,11.0,2014.0,23.0,0.0,0.0,0,3.0,1.0,0.0,53.0,0.0,,5.0,20.0,0,0.0,,1.0,0,1.0,37,8.0,1,1,0,0
2009.0,20,2,62,1.0,0,12.0,2013.0,6.0,0.0,0.0,0,,1.0,0.0,54.0,0.0,38.0,17.0,21.0,0,0.0,1.0,,0,1.0,22,1.0,1,1,0,0
,20,1,63,,0,0.0,2013.0,24.0,0.0,0.0,1,10.0,8.0,0.0,55.0,0.0,,18.0,22.0,0,,,1.0,2,1.0,28,5.0,1,1,0,0
,73,1,64,,0,0.0,2021.0,25.0,0.0,0.0,0,16.0,0.0,0.0,56.0,0.0,,19.0,0.0,0,1.0,,1.0,0,0.0,44,1.0,1,1,0,0
,20,1,65,,0,0.0,2013.0,26.0,0.0,0.0,1,,3.0,0.0,57.0,0.0,,5.0,0.0,0,0.0,,1.0,2,1.0,34,5.0,1,1,0,0
1991.0,20,1,66,0.0,0,0.0,2013.0,,0.0,0.0,0,11.0,1.0,0.0,58.0,0.0,39.0,6.0,23.0,0,1.0,0.0,1.0,0,1.0,29,7.0,1,1,0,0
2001.0,73,1,67,2.0,0,0.0,2013.0,10.0,,,0,,5.0,0.0,59.0,0.0,40.0,20.0,0.0,0,1.0,2.0,1.0,0,0.0,41,9.0,1,1,0,0
2012.0,20,2,68,2.0,0,4.0,,,0.0,0.0,1,1.0,1.0,0.0,60.0,0.0,41.0,,6.0,0,0.0,2.0,1.0,2,1.0,22,,1,1,0,0
2003.0,73,1,69,0.0,0,0.0,2021.0,11.0,0.0,0.0,4,17.0,2.0,0.0,61.0,0.0,42.0,4.0,0.0,0,1.0,0.0,2.0,0,0.0,38,1.0,1,1,0,0
2015.0,73,1,70,0.0,0,0.0,2021.0,0.0,0.0,0.0,0,,0.0,0.0,62.0,0.0,43.0,0.0,0.0,0,0.0,0.0,1.0,0,1.0,24,1.0,1,1,0,0
2014.0,20,1,71,2.0,0,13.0,,,0.0,0.0,1,1.0,2.0,0.0,63.0,0.0,44.0,,0.0,0,0.0,2.0,1.0,0,0.0,25,,1,1,0,0
2013.0,20,1,72,0.0,0,0.0,2020.0,27.0,0.0,0.0,2,,,0.0,64.0,0.0,45.0,0.0,0.0,0,0.0,0.0,1.0,0,1.0,23,0.0,1,1,0,0
2008.0,20,2,73,2.0,0,0.0,,,0.0,0.0,2,,2.0,0.0,65.0,0.0,46.0,,0.0,0,0.0,2.0,,0,1.0,23,,1,1,0,0
2017.0,73,1,74,0.0,1,14.0,,28.0,0.0,0.0,0,,2.0,0.0,66.0,0.0,47.0,0.0,24.0,0,0.0,0.0,1.0,0,1.0,24,,1,1,0,0
2005.0,20,1,75,,0,0.0,2018.0,0.0,,,2,3.0,3.0,0.0,67.0,0.0,48.0,5.0,0.0,0,0.0,,1.0,2,1.0,30,0.0,1,1,0,0
1999.0,20,2,76,0.0,0,0.0,,,0.0,0.0,2,18.0,9.0,0.0,68.0,0.0,49.0,,0.0,0,1.0,0.0,1.0,0,1.0,35,,1,1,0,0
,20,2,77,,0,0.0,,,,,0,11.0,1.0,0.0,69.0,0.0,50.0,,0.0,2,0.0,,1.0,2,1.0,31,,1,1,0,0
2004.0,20,2,78,4.0,0,0.0,,,0.0,0.0,0,,10.0,0.0,70.0,0.0,51.0,,25.0,0,3.0,4.0,1.0,0,0.0,29,,1,1,0,0
2016.0,73,1,79,0.0,0,1.0,2023.0,1.0,0.0,0.0,0,1.0,7.0,0.0,71.0,0.0,52.0,4.0,2.0,0,0.0,0.0,0.0,0,0.0,25,1.0,1,1,0,0
,20,2,80,2.0,0,,1998.0,29.0,0.0,0.0,1,,3.0,0.0,72.0,0.0,,,0.0,0,,2.0,,0,1.0,40,16.0,1,1,0,0
,73,1,81,,0,1.0,1996.0,30.0,0.0,0.0,2,9.0,1.0,0.0,73.0,0.0,,21.0,0.0,0,1.0,,1.0,0,0.0,49,26.0,1,1,0,0
,20,1,82,,0,0.0,2017.0,31.0,0.0,0.0,2,9.0,0.0,0.0,74.0,0.0,,,0.0,0,0.0,,1.0,0,1.0,28,3.0,1,1,0,0
2000.0,20,1,83,,0,1.0,,,0.0,0.0,0,10.0,0.0,0.0,75.0,0.0,32.0,,17.0,0,0.0,,1.0,0,1.0,37,,1,1,0,0
2013.0,20,1,84,2.0,1,10.0,,,0.0,0.0,0,1.0,,0.0,76.0,0.0,53.0,,0.0,0,0.0,2.0,1.0,0,0.0,22,,1,1,0,0
,73,1,85,,0,0.0,2019.0,32.0,0.0,0.0,2,,0.0,0.0,77.0,0.0,,22.0,0.0,0,,,1.0,0,0.0,28,5.0,1,1,0,0
2000.0,20,2,86,1.0,0,0.0,,,0.0,0.0,0,1.0,4.0,3.0,78.0,0.0,54.0,,26.0,0,0.0,1.0,1.0,0,0.0,37,,1,1,0,0
,73,1,87,,0,0.0,2007.0,33.0,0.0,0.0,0,19.0,0.0,0.0,79.0,0.0,,22.0,27.0,0,1.0,,0.0,0,0.0,42,17.0,1,1,0,0
,20,1,88,,0,0.0,2018.0,34.0,0.0,0.0,1,,1.0,0.0,80.0,0.0,,5.0,0.0,0,0.0,,1.0,2,1.0,23,0.0,1,1,0,0
,20,1,89,,0,0.0,2009.0,35.0,0.0,0.0,0,,,0.0,81.0,0.0,,23.0,0.0,0,1.0,,0.0,0,0.0,48,12.0,1,1,0,0
2003.0,20,1,90,2.0,0,1.0,,,0.0,0.0,0,20.0,3.0,0.0,82.0,0.0,55.0,,0.0,1,0.0,2.0,,1,1.0,29,,1,1,0,0
,20,2,91,2.0,0,0.0,,,0.0,0.0,2,,4.0,,,0.0,,,,0,1.0,2.0,1.0,0,0.0,28,,1,1,0,0
,20,2,92,,0,15.0,,,0.0,0.0,0,,1.0,4.0,83.0,0.0,,,,2,0.0,,1.0,2,0.0,30,,1,1,0,0
2009.0,20,2,93,2.0,0,1.0,2018.0,36.0,0.0,0.0,0,21.0,1.0,0.0,84.0,0.0,34.0,4.0,2.0,2,0.0,2.0,1.0,2,1.0,25,-1.0,1,1,0,0
,20,1,94,,0,0.0,2011.0,37.0,,,1,,5.0,0.0,85.0,0.0,56.0,,28.0,0,0.0,,0.0,0,0.0,47,10.0,1,1,0,0
2003.0,73,1,95,2.0,0,0.0,,,0.0,0.0,2,,2.0,5.0,86.0,0.0,57.0,,29.0,0,0.0,2.0,1.0,0,0.0,36,,1,1,0,0
,20,2,96,2.0,1,0.0,,,1.0,0.0,0,22.0,1.0,0.0,87.0,0.0,,,0.0,0,1.0,2.0,1.0,0,0.0,25,,1,1,0,0
2005.0,20,2,97,2.0,1,0.0,2009.0,,,,0,,2.0,0.0,88.0,0.0,58.0,0.0,0.0,0,1.0,2.0,1.0,0,1.0,29,7.0,1,1,0,0
2012.0,73,1,98,2.0,0,13.0,2024.0,22.0,0.0,0.0,2,,0.0,0.0,89.0,0.0,59.0,4.0,0.0,0,0.0,2.0,0.0,0,0.0,30,0.0,1,1,0,0
,20,1,99,,0,,,,0.0,0.0,1,,1.0,,,,,,,2,,,1.0,2,0.0,34,,1,1,0,0
2013.0,20,1,100,2.0,0,16.0,,,0.0,0.0,0,1.0,1.0,0.0,90.0,0.0,60.0,,0.0,0,0.0,2.0,1.0,0,0.0,24,,1,1,0,0
2007.0,20,1,101,5.0,0,0.0,,,0.0,0.0,0,3.0,1.0,0.0,91.0,0.0,,,0.0,0,1.0,5.0,1.0,0,0.0,29,,1,1,0,0
,73,1,102,,0,0.0,2017.0,10.0,0.0,0.0,0,,0.0,0.0,92.0,0.0,,24.0,30.0,0,2.0,,1.0,0,1.0,30,5.0,1,1,0,0
,20,1,103,,0,,,,0.0,0.0,1,,1.0,,,,,,,0,,,1.0,2,0.0,23,,1,1,0,0
,20,2,104,2.0,0,,,,0.0,0.0,1,,,,,,,,,0,,2.0,,0,0.0,36,,1,1,0,0
2012.0,20,2,105,2.0,0,0.0,,,0.0,0.0,0,1.0,1.0,0.0,93.0,0.0,61.0,,0.0,0,0.0,2.0,1.0,2,1.0,22,,1,1,0,0
,73,1,106,,0,17.0,2009.0,38.0,,,4,,1.0,0.0,94.0,0.0,,0.0,31.0,0,0.0,,2.0,0,1.0,37,13.0,1,1,0,0
,73,1,107,,0,18.0,2021.0,20.0,0.0,0.0,0,23.0,0.0,0.0,95.0,0.0,,25.0,32.0,0,1.0,,1.0,0,1.0,40,1.0,1,1,0,0
2009.0,20,1,108,1.0,0,0.0,2013.0,12.0,0.0,0.0,0,9.0,1.0,0.0,96.0,0.0,62.0,0.0,0.0,1,0.0,1.0,,1,1.0,24,2.0,1,1,0,0
,73,1,109,,0,0.0,2019.0,7.0,,,0,,0.0,0.0,77.0,0.0,,26.0,0.0,0,0.0,,1.0,0,0.0,33,3.0,1,1,0,0
2006.0,20,1,110,0.0,1,0.0,,,0.0,0.0,1,1.0,1.0,0.0,97.0,0.0,63.0,,0.0,0,0.0,0.0,1.0,2,0.0,29,,1,1,0,0
2007.0,20,1,111,2.0,1,1.0,,,0.0,0.0,0,1.0,1.0,0.0,98.0,0.0,64.0,,2.0,0,0.0,2.0,1.0,2,0.0,28,,1,1,0,0
2015.0,73,1,112,2.0,1,0.0,2021.0,28.0,0.0,0.0,0,1.0,1.0,0.0,99.0,0.0,65.0,0.0,33.0,0,0.0,2.0,1.0,0,0.0,24,1.0,1,1,0,0
,20,1,113,1.0,1,3.0,2018.0,39.0,0.0,0.0,3,18.0,0.0,0.0,100.0,0.0,,5.0,14.0,0,0.0,1.0,1.0,0,0.0,25,2.0,1,1,0,0
2008.0,20,1,114,2.0,0,1.0,,,0.0,0.0,0,1.0,11.0,0.0,101.0,0.0,66.0,,0.0,0,0.0,2.0,1.0,0,0.0,28,,1,1,0,0
,20,1,115,2.0,0,0.0,2019.0,17.0,0.0,0.0,2,9.0,1.0,0.0,102.0,0.0,,2.0,0.0,0,0.0,2.0,1.0,0,0.0,25,1.0,1,1,0,0
2009.0,20,1,116,2.0,0,0.0,,,0.0,0.0,0,10.0,12.0,0.0,103.0,0.0,19.0,,0.0,1,2.0,2.0,,1,1.0,23,,1,1,0,0
2012.0,20,1,117,2.0,0,1.0,2017.0,40.0,0.0,0.0,3,1.0,3.0,0.0,104.0,0.0,,5.0,0.0,0,0.0,2.0,1.0,2,1.0,24,1.0,1,1,0,0
2012.0,20,2,118,2.0,0,1.0,2018.0,22.0,0.0,0.0,0,,3.0,0.0,93.0,0.0,64.0,1.0,0.0,0,0.0,2.0,1.0,2,1.0,22,-1.0,1,1,0,0
2017.0,73,1,119,0.0,0,0.0,2021.0,4.0,0.0,0.0,2,3.0,0.0,0.0,105.0,0.0,67.0,4.0,0.0,0,0.0,0.0,1.0,0,1.0,23,1.0,1,1,0,0
2012.0,20,1,120,1.0,0,0.0,2017.0,37.0,0.0,0.0,0,1.0,0.0,0.0,106.0,0.0,1.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,28,3.0,1,1,0,0
2012.0,20,1,121,2.0,0,0.0,,,0.0,0.0,0,1.0,1.0,0.0,35.0,0.0,11.0,,0.0,0,0.0,2.0,1.0,2,0.0,22,,2,1,1,1
,20,1,122,2.0,0,,,,0.0,0.0,0,,,0.0,107.0,0.0,68.0,,0.0,0,,2.0,1.0,0,1.0,23,,1,1,0,0
,73,1,123,,0,0.0,2020.0,41.0,0.0,0.0,2,15.0,0.0,0.0,108.0,0.0,,27.0,0.0,0,1.0,,0.0,0,0.0,29,4.0,1,1,0,0
2010.0,20,2,124,2.0,0,0.0,2015.0,1.0,0.0,0.0,1,3.0,3.0,0.0,109.0,0.0,69.0,4.0,0.0,0,1.0,2.0,,0,1.0,22,0.0,1,1,0,0
,20,1,125,,0,0.0,,,0.0,0.0,0,3.0,12.0,,110.0,0.0,,,34.0,0,1.0,,1.0,2,1.0,32,,1,1,0,0
2004.0,20,1,126,1.0,0,0.0,,,,,0,,2.0,0.0,111.0,0.0,62.0,,0.0,0,1.0,1.0,1.0,0,0.0,34,,1,1,0,0
2007.0,20,2,127,2.0,0,19.0,,,0.0,0.0,2,1.0,1.0,0.0,112.0,0.0,70.0,,35.0,0,0.0,2.0,,0,1.0,24,,1,1,0,0
,20,1,128,,0,,,,0.0,0.0,1,,1.0,,,,,,,2,,,1.0,2,0.0,29,,1,1,0,0
,73,1,129,,0,0.0,2018.0,3.0,0.0,0.0,2,,,0.0,113.0,0.0,,28.0,4.0,0,,,1.0,0,1.0,28,5.0,1,1,0,0
,20,1,130,2.0,0,,,,0.0,0.0,1,,1.0,,,,,,,1,,2.0,,1,0.0,29,,2,1,1,1
,20,1,130,2.0,0,,,,0.0,0.0,1,,1.0,,,,,,,0,,2.0,1.0,2,0.0,32,,2,0,1,1
,73,1,131,,0,0.0,2022.0,14.0,0.0,0.0,0,,,0.0,114.0,0.0,,5.0,0.0,0,,,1.0,0,1.0,25,1.0,1,1,0,0
2001.0,20,1,132,1.0,0,20.0,2010.0,42.0,0.0,0.0,2,3.0,3.0,0.0,115.0,0.0,71.0,29.0,36.0,1,1.0,1.0,,1,1.0,34,5.0,1,1,0,0
,73,1,133,,0,0.0,1999.0,43.0,0.0,0.0,0,,0.0,0.0,116.0,0.0,,30.0,37.0,0,1.0,,1.0,0,0.0,50,23.0,1,1,0,0
2004.0,20,2,134,2.0,0,0.0,,,0.0,0.0,0,,0.0,0.0,117.0,0.0,72.0,,38.0,0,1.0,2.0,1.0,0,0.0,30,,1,1,0,0
2006.0,73,1,135,2.0,0,0.0,2021.0,44.0,0.0,0.0,1,,0.0,0.0,118.0,0.0,73.0,22.0,0.0,0,0.0,2.0,0.0,0,0.0,35,3.0,1,1,0,0
1999.0,20,2,136,,0,0.0,2008.0,12.0,,,1,,1.0,0.0,119.0,0.0,74.0,31.0,0.0,2,0.0,,1.0,2,0.0,35,9.0,3,1,1,1
1999.0,20,1,136,,0,0.0,2008.0,12.0,,,1,,1.0,0.0,119.0,0.0,74.0,31.0,0.0,0,0.0,,1.0,0,0.0,37,11.0,3,0,1,1
,20,2,137,2.0,1,0.0,,,0.0,0.0,1,,,0.0,120.0,0.0,,,39.0,0,0.0,2.0,1.0,0,0.0,27,,1,1,0,0
2002.0,20,2,138,0.0,1,0.0,,,0.0,0.0,0,1.0,1.0,0.0,121.0,0.0,75.0,,0.0,0,0.0,0.0,,0,0.0,29,,1,1,0,0
,20,2,139,2.0,0,2.0,,,0.0,0.0,2,,3.0,,,0.0,,,4.0,0,,2.0,,0,1.0,33,,1,1,0,0
,20,1,140,0.0,0,0.0,2014.0,45.0,0.0,0.0,0,24.0,2.0,0.0,122.0,0.0,,,0.0,0,0.0,0.0,1.0,0,1.0,29,6.0,1,1,0,0
2013.0,20,1,141,0.0,0,0.0,,,0.0,0.0,2,,,0.0,123.0,0.0,75.0,,0.0,0,0.0,0.0,0.0,0,0.0,25,,1,1,0,0
,20,1,142,,0,0.0,2017.0,26.0,0.0,0.0,1,,0.0,0.0,124.0,0.0,,5.0,0.0,0,0.0,,1.0,0,0.0,29,3.0,1,1,0,0
,73,1,143,,0,0.0,2006.0,46.0,0.0,0.0,2,25.0,0.0,0.0,125.0,0.0,,22.0,0.0,0,1.0,,0.0,0,0.0,61,18.0,1,1,0,0
